R1
Novak Djokovic (SRB) [1]
Q
Alexei Popyrin (AUS)
Marc Polmans (AUS) [WC]
Yannick Hanfmann (GER)
Gael Monfils (FRA)
Andy Murray (GBR)
Tomas Martin Etcheverry (ARG) [30]
Adrian Mannarino (FRA) [20]
Stan Wawrinka (SUI)
Alexander Shevchenko (RUS)
Jaume Munar (ESP)
Christopher O'Connell (AUS)
Cristian Garin (CHI)
Roberto Bautista Agut (ESP)
Ben Shelton (USA) [16]
Taylor Fritz (USA) [12]
Facundo Diaz Acosta (ARG)
Roberto Carballes Baena (ESP)
Borna Gojo (CRO)
Fabian Marozsan (HUN)
Marin Cilic (CRO)
Francisco Cerundolo (ARG) [22]
Q
Lorenzo Musetti (ITA) [25]
Lucca Van Assche (FRA)
James Duckworth (AUS) [WC]
Luca Van Assche (FRA)
Aleksandar Vukic (AUS)
Jordan Thompson (AUS)
Matteo Berrettini (ITA)
Stefanos Tsitsipas (GRE) [7]
Jannik Sinner (ITA) [4]
Botic van de Zandschulp (NED)
Pedro Cachin (ARG)
Q
Daniel Elahi Galan (COL)
Jason Kubler (AUS) [WC]
J.J. Wolf (USA)
Sebastian Baez (ARG) [26]
Frances Tiafoe (USA) [17]
Borna Coric (CRO)
Tomas Machac (CZE)
Q
Alejandro Tabilo (CHI)
Q
Daniel Altmaier (GER)
Karen Khachanov (RUS) [15]
Alex de Minaur (AUS) [10]
Milos Raonic (CAN)
Matteo Arnaldi (ITA)
Adam Walton (AUS) [WC]
Pavel Kotov (RUS)
Arthur Rinderknech (FRA)
Nicolas Jarry (CHI) [18]
Q
Sebastian Korda (USA) [29]
Q
Quentin Halys (FRA)
Q
Christopher Eubanks (USA)
Taro Daniel (JPN)
Thiago Seyboth Wild (BRA)
Andrey Rublev (RUS) [5]
Holger Rune (DEN) [8]
Yoshihito Nishioka (JPN)
Laslo Djere (SRB)
Arthur Cazaux (FRA) [WC]
Arthur Fils (FRA)
Jiri Vesely (CZE)
Roman Safiullin (RUS)
Tallon Griekspoor (NED) [28]
Ugo Humbert (FRA) [21]
Q
Zhizhen Zhang (CHN)
Federico Coria (ARG)
Denis Shapovalov (CAN)
Q
Hubert Hurkacz (POL) [9]
Q
Grigor Dimitrov (BUL) [13]
Marton Fucsovics (HUN)
Sebastian Ofner (AUT)
Thanasi Kokkinakis (AUS)
Maximilian Marterer (GER)
Nuno Borges (POR)
Constant Lestienne (FRA)
Alejandro Davidovich Fokina (ESP) [23]
Felix Auger-Aliassime (CAN) [27]
Dominic Thiem (AUT)
Alexandre Muller (FRA)
Q
Emil Ruusuvuori (FIN)
Q
Daniil Medvedev (RUS) [3]
Q
Alexander Zverev (GER) [6]
Dominik Koepfer (GER)
Soonwoo Kwon (KOR)
Q
James McCabe (AUS) [WC]
Alex Michelsen (USA)
Bernabe Zapata Miralles (ESP)
Jiri Lehecka (CZE) [32]
Cameron Norrie (GBR) [19]
Juan Pablo Varillas (PER)
Dusan Lajovic (SRB)
Q
Max Purcell (AUS)
Q
Albert Ramos-Vinolas (ESP)
Casper Ruud (NOR) [11]
Tommy Paul (USA) [14]
Gregoire Barrere (FRA)
Marcos Giron (USA)
Jack Draper (GBR)
Miomir Kecmanovic (SRB)
Yosuke Watanuki (JPN)
Rinky Hijikata (AUS)
Jan-Lennard Struff (GER) [24]
Alexander Bublik (KAZ) [31]
Q
Mackenzie McDonald (USA)
Juncheng Shang (CHN) [WC]
Daniel Evans (GBR)
Lorenzo Sonego (ITA)
Richard Gasquet (FRA)
Carlos Alcaraz (ESP) [2]
